player_id,player_name,season,overall_pick,organization,organization_type,height_wo_shoes,weight,wingspan,bmi,total_pts,total_games_with_points,pts_per_game,total_assists,total_games_with_assists,assists_per_game,total_rebounds,total_games_with_rebounds,rebounds_per_game
79299,Clifton McNeeley,1947,1,Texas-El Paso,College/University,,,,,,,,,,,,,
78109,Glen Selbo,1947,2,Wisconsin,College/University,,,,,,,,,,,,,
76649,Eddie Ehlers,1947,3,Purdue,College/University,,,,,,,,,,,,,
79302,Walt Dropo,1947,4,Connecticut,College/University,,,,,,,,,,,,,
77048,Dick Holub,1947,5,Long Island-Brooklyn,College/University,,,,,,,,,,,,,
76479,Francis Crossin,1947,6,Pennsylvania,College/University,,,,,,,,,,,,,
79311,Jack Underman,1947,7,Ohio State,College/University,,,,,,,,,,,,,
77088,Paul Huston,1947,8,Ohio State,College/University,,,,,,,,,,,,,
77752,Dick O'Keefe,1947,9,Santa Clara,College/University,,,,,,,,,,,,,
79321,Larry Killick,1947,10,Vermont,College/University,,,,,,,,,,,,,
78353,Andy Tonkovich,1948,1,Marshall,College/University,,,,,,,,,,,,,
79374,George Kok,1948,2,Arkansas,College/University,,,,,,,,,,,,,
79327,George Hauptfuhrer,1948,3,Harvard,College/University,,,,,,,,,,,,,
78076,Dolph Schayes,1948,4,New York University,College/University,,,,,,,,,,,,,
77590,Ed Mikan,1948,5,DePaul,College/University,,,,,,,,,,,,,
76298,Walter Budko,1948,6,Columbia,College/University,,,,,,,,,,,,,
79351,Robert Gale,1948,7,Cornell,College/University,,,,,,,,,,,,,
78573,Ward Williams,1948,8,Indiana,College/University,,,,,,,,,,,,,
79378,Chuck Hanger,1948,9,California,College/University,,,,,,,,,,,,,
78453,Bobby Wanzer,1948,10,Seton Hall,College/University,,,,,,,,,,,,,
77918,Don Ray,1948,11,Western Kentucky,College/University,,,,,,,,,,,,,
77713,Jack Nichols,1948,12,Washington,College/University,,,,,,,,,,,,,
78124,Howie Shannon,1949,1,Kansas State,College/University,,,,,,,,,,,,,
76897,Alex Groza,1949,2,Kentucky,College/University,,,,,,,,,,,,,
76959,Bob Harris,1949,3,Oklahoma State,College/University,,,,,,,,,,,,,
77346,Tony Lavelli,1949,4,Yale,College/University,,,,,,,,,,,,,
76779,Vern Gardner,1949,5,Utah,College/University,,,,,,,,,,,,,
77392,Ron Livingstone,1949,6,Wyoming,College/University,,,,,,,,,,,,,
77537,Dick McGuire,1949,7,St. John's (NY),College/University,,,,,,,,,,,,,
77199,Wallace Jones,1949,8,Kentucky,College/University,,,,,,,,,,,,,
77249,Jack Kerris,1949,9,Loyola-Chicago,College/University,,,,,,,,,,,,,
78063,Frank Saul,1949,10,Seton Hall,College/University,,,,,,,,,,,,,
78125,Charlie Share,1950,1,Bowling Green,College/University,,,,,,,,,,,,,
77933,Don Rehfeldt,1950,2,Wisconsin,College/University,,,,,,,,,,,,,
600003,Bob Cousy,1950,3,Holy Cross,College/University,,,,,,,,,,,,,
78086,Dick Schnittker,1950,4,Ohio State,College/University,,,,,,,,,,,,,
76744,Larry Foust,1950,5,La Salle,College/University,,,,,,,,,,,,,
